From,To,Latency_in_ms
ColdLake,Edmonton,1.8557155246894557
GrandePrairie,Edmonton,3.040581653076864
GrandePrairie,DawsonCreek,0.8270384886409758
Edmonton,FortMcMurray,1.3623594327263677
Edmonton,Kamloops,3.939526846528328
Edmonton,RedDeer,0.34639159722104923
Edmonton,Saskatoon,3.871513565384101
Kamloops,Vancouver,1.6372188744597647
Kamloops,Vernon,26.17500149693197
Kamloops,PrinceGeorge,1.6771103923498896
Vernon,Kelowna,25.718851212819565
DawsonCreek,PrinceGeorge,1.5233103169181947
Kelowna,Penticton,0.1255838996201384
Kelowna,Calgary,3.065917901208578
Kelowna,Vancouver,2.0616633446208863
SeptIles,BaieComeau,1.0212046705531157
Charlottetown,Onslow,0.23797876289458583
Charlottetown,Moncton,0.9470449695236045
NewYork,Washington,1.7313728737389062
NewYork,Buffalo,2.767783836343841
NewYork,Montreal,0.7918212023394194
Ottawa,Toronto,2.1111215283073737
Ottawa,Montreal,1.1925695392749867
Montreal,QuebecCity,1.3593550361167164
Montreal,Sherbrooke,0.9544304063402056
Sherbrooke,QuebecCity,0.4618841329247091
Sherbrooke,QuebecCity,0.4618841329247091
QuebecCity,Chicoutimi,0.3071376246592641
QuebecCity,Fredericton,2.576449645381706
QuebecCity,Moncton,3.6265698284185226
Chicoutimi,Rimouski,1.4350442021515115
Rimouski,BaieComeau,0.26565188297264936
SaintJohn,Moncton,0.7421763148942383
SaintJohn,Halifax,1.4174916472797183
SaintJohn,Fredericton,0.37063855910773
Moncton,Onslow,0.8785862799164567
Halifax,StJohns,6.1987763290701325
Halifax,Onslow,0.24556895577486162
StJohns,Onslow,6.009599970057869
Lethbridge,Calgary,0.7774860253326721
Calgary,Vancouver,5.127550598701202
Calgary,MedicineHat,1.9427098015786637
Calgary,RedDeer,0.3216768517601653
Buffalo,Toronto,0.3160494724686824
Toronto,Chicago,4.653561827892339
Toronto,Sudbury,0.9285852626380997
Victoria,Courtenay,1.0003778859042491
Victoria,Vancouver,0.28975720375167596
Victoria,Seattle,0.6385370854520674
Seattle,Vancouver,0.6707608386981232
Seattle,LosAngeles,4.488260192309964
Seattle,PaloAlto,3.0627847656404676
Seattle,SanFrancisco,2.9725472159921704
Chicago,Dallas,5.1617950491019
Chicago,Winnipeg,5.356663320532
LosAngeles,Washington,23.266529332777377
LosAngeles,PaloAlto,2.4040032701608185
PaloAlto,SanFrancisco,0.18573259617607066
MedicineHat,Regina,3.419666919792401
Washington,Atlanta,4.1765148912753185
Atlanta,Dallas,7.017225368252673
Sudbury,ThunderBay,4.7054977479670725
ThunderBay,Winnipeg,4.424526328301083
Winnipeg,Saskatoon,5.366430827178704
Winnipeg,Regina,4.221909972638069
